date,dac_heuk,dac_matc,dac_earl,dac_lemo
0830,10,10,10,10
0831,10,10,10,10
0901,10,10,10,10
0902,10,10,10,10
0903,10,10,10,10
0904,10,10,10,10
0905,10,10,10,10
0906,10,10,10,10
0907,10,10,10,10
0908,10,10,10,10
0909,10,10,10,10
0910,10,10,10,10
0911,10,10,10,10
0912,10,10,10,10
0913,10,10,10,10
0914,10,10,10,10
0915,10,10,10,10
0916,10,10,10,10
0917,10,10,10,10
0918,10,10,10,10
0919,10,10,10,10
0920,10,10,10,10
0921,10,10,10,10
0922,10,10,10,10
0923,10,10,10,10
0924,10,10,10,10
0925,10,10,10,10
0926,10,10,10,10
0927,10,10,10,10
0928,10,10,10,10
0929,10,10,10,10
0930,10,10,10,10
1001,10,10,10,10
1002,10,10,10,10
1003,10,10,10,10
